"","orden_de_gobierno","siglas_de_la_institucion","institucion","clave_de_la_uc","nombre_de_la_uc","responsable_de_la_uc","codigo_del_expediente","titulo_del_expediente","plantilla_del_expediente","fundamento_legal","numero_del_procedimiento","fecha_de_fallo","fecha_de_publicacion","fecha_de_apertura","caracter_del_procedimiento","tipo_de_contratacion","tipo_de_procedimiento","forma_de_participacion","codigo_del_contrato","num_de_control_del_contrato","titulo_del_contrato","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato","importe_del_contrato","moneda_del_contrato","estatus_del_contrato","convenio_modificatorio","clave_del_programa_federal","fecha_de_firma_del_contrato","contrato_marco","compra_consolidada","contrato_plurianual","clave_de_cartera_shcp","folio_en_el_rupc","rfc","proveedor_o_contratista","estratificacion_de_la_empresa","clave_del_pais_de_la_empresa","rfc_verificado_en_el_sat","credito_externo","organismo_financiero","direccion_del_anuncio","d_fallo","d_publicacion","d_apertura","d_inicio_del_contrato","d_fin_del_contrato","d_firma_del_contrato","dd_pub_y_aper","dd_pub_y_fallo","dd_aper_y_fallo","p_exp","p_con","quinced"
"54","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100987","INEGI-DIRECCION REGIONAL ORIENTE #040100987","VÍCTOR HUGO CUEVAS ROSAS","1790574","SERVICIO DE PROTECCIÓN Y SEGURIDAD INTEGRAL, D.R.O.","01. Licitación Pública LAASSP",NA,"LA-040100987-E4-2018",2018-10-15,2018-09-11 09:01:00,2018-09-26 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1942632","DRO-LA-040100987-E3-2018-04-2019","CONTRATO DE SERVICIOS",2019-01-01,2020-12-31,"8609280","MXN","Activo","0",NA,2018-10-24,"No se utilizó el Contrato Marco","1","1",NA,"12317","SPI020108543","SEGURIDAD PRIVADA INTEGRAL DE AUTOSERVICIO SA DE CV","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1554897","lunes","martes","miércoles","martes","jueves","miércoles",15,34,19,6,2,0
"55","GE","SON","SON-Instituto Tecnológico de Sonora","926014991","SON-Instituto Tecnológico de Sonora-Departamento de Adquisiciones y Servicios Generales #926014991","JAVIER ROJAS TENORIO","1793974","PÓLIZA DE MANTENIMIENTO PREVENTIVO-CORRECTIVO DE COBERTURA AMPLIA 2019 PARA UPS","01. Licitación Pública LAASSP",NA,"LA-926014991-E51-2018",2018-10-16,2018-09-17 16:49:00,2018-10-09 00:00:00,"Internacional","Servicios","Licitación Pública","Presencial","1946986","18-029","PÓLIZA DE MANTENIMIENTO PREVENTIVO-CORRECTIVO DE COBERTURA AMPLIA 2019 PARA UPS",2019-01-01,2020-01-01,"494000","MXN","Activo","0","11U006-S ORG DESCENT ESTATALES",2018-10-25,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"HM SISTEMAS DE ENERGIA, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1558086","martes","lunes","martes","martes","miércoles","jueves",21,28,7,9,9,0
"56","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100991","INEGI-Dirección Regional Noroeste #040100991","Mario Garduño Gómez","1796529","Servicios de Protección y Seguridad Integral_INEGI","01. Licitación Pública LAASSP",NA,"LA-040100991-E3-2018",2018-10-23,2018-09-20 16:26:00,2018-10-05 09:30:00,"Nacional","Servicios","Licitación Pública","Mixta","1951033","LA-040100991-E3-2018/PROSEPS/BCS/2019","LA-040100991-E3-2018/PROSEPS/BCS/2019",2019-01-01,2020-01-01,"427195.2","MXN","Activo","0",NA,2018-11-07,"No se utilizó el Contrato Marco","0","0",NA,"10263","PSP031024RY1","PROTECCION Y SEGURIDAD PRIVADA DEL SURESTE S.A. DE C.V.","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1560590","martes","jueves","viernes","martes","miércoles","miércoles",15,32,18,5,0,0
"57","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100991","INEGI-Dirección Regional Noroeste #040100991","Mario Garduño Gómez","1796529","Servicios de Protección y Seguridad Integral_INEGI","01. Licitación Pública LAASSP",NA,"LA-040100991-E3-2018",2018-10-23,2018-09-20 16:26:00,2018-10-05 09:30:00,"Nacional","Servicios","Licitación Pública","Mixta","1950914","LA-040100991-E3-2018/SPD/SON/2019","LA-040100991-E3-2018/SPD/SON/2019",2019-01-01,2019-12-31,"1213109.04","MXN","Activo","0",NA,2018-11-07,"No se utilizó el Contrato Marco","0","0",NA,"109683","SSP120112HF7","SPD SEGURIDAD PRIVADA DEL DESIERTO SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1560590","martes","jueves","viernes","martes","martes","miércoles",15,32,18,5,0,0
"58","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100991","INEGI-Dirección Regional Noroeste #040100991","Mario Garduño Gómez","1796529","Servicios de Protección y Seguridad Integral_INEGI","01. Licitación Pública LAASSP",NA,"LA-040100991-E3-2018",2018-10-23,2018-09-20 16:26:00,2018-10-05 09:30:00,"Nacional","Servicios","Licitación Pública","Mixta","1951026","LA-040100991-E3-2018/PROSEPS/SIN/2019","LA-040100991-E3-2018/PROSEPS/SIN/2019",2019-01-01,2020-01-01,"897116.16","MXN","Activo","0",NA,2018-11-07,"No se utilizó el Contrato Marco","0","0",NA,"10263","PSP031024RY1","PROTECCION Y SEGURIDAD PRIVADA DEL SURESTE S.A. DE C.V.","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1560590","martes","jueves","viernes","martes","miércoles","miércoles",15,32,18,5,0,0
"59","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100991","INEGI-Dirección Regional Noroeste #040100991","Mario Garduño Gómez","1796529","Servicios de Protección y Seguridad Integral_INEGI","01. Licitación Pública LAASSP",NA,"LA-040100991-E3-2018",2018-10-23,2018-09-20 16:26:00,2018-10-05 09:30:00,"Nacional","Servicios","Licitación Pública","Mixta","1951044","LA-040100991-E3-2018/EULEN/BC/2019","LA-040100991-E3-2018/EULEN/BC/2019",2019-01-01,2020-01-01,"1240600.68","MXN","Activo","0",NA,2018-11-07,"No se utilizó el Contrato Marco","0","0",NA,"52960","ESP971110L73","EULEN DE SEGURIDAD PRIVADA SA DE CV","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1560590","martes","jueves","viernes","martes","miércoles","miércoles",15,32,18,5,0,0
"60","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100997","INEGI-Dirección Regional Norte #040100997","LUZ IRAZEMA  LEAL PAYNS","1796810","LICITACION PUBLICA NACIONAL (SERVICIO DE VIGILANCIA)","01. Licitación Pública LAASSP",NA,"LA-040100997-E3-2018",2018-10-22,2018-09-21 15:39:00,2018-10-15 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1957848","LA-040100997-E3-2018/MAXI","CONTRATO LA-040100997-E3-2018/MAXI",2019-01-01,2020-12-31,"6619447.92","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"34507","MSM0705117N6","MAXI SERVICIOS DE MEXICO","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1561030","lunes","viernes","lunes","martes","jueves",NA,24,30,7,5,1,0
"61","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100997","INEGI-Dirección Regional Norte #040100997","LUZ IRAZEMA  LEAL PAYNS","1796810","LICITACION PUBLICA NACIONAL (SERVICIO DE VIGILANCIA)","01. Licitación Pública LAASSP",NA,"LA-040100997-E3-2018",2018-10-22,2018-09-21 15:39:00,2018-10-15 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1957859","LA-0401009997-E3-2018/OMEGA","CONTRATO LA-0401009997-E3-2018/OMEGA",2019-01-01,2020-12-31,"1138176","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"21112","SPI990601TM6","SEGURIDAD PRIVADA INDUSTRIAL OMEGA","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1561030","lunes","viernes","lunes","martes","jueves",NA,24,30,7,5,1,0
"62","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100997","INEGI-Dirección Regional Norte #040100997","LUZ IRAZEMA  LEAL PAYNS","1797134","LICITACION PUBLICA NACIONAL (SERVICIO DE LIMPIEZA)","01. Licitación Pública LAASSP",NA,"LA-040100997-E4-2018",2018-11-14,2018-09-21 15:41:00,2018-11-05 10:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1962072","LA-040100997-E4-2018/TODOLIMPIO","CONTRATO LA-040100997-E4-2018/TODOLIMPIO",2019-01-01,2020-12-31,"748810.37","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"19696",NA,"MARIA HUERTA PEREZ","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1561053","miércoles","viernes","lunes","martes","jueves",NA,45,53,9,5,1,0
"63","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100997","INEGI-Dirección Regional Norte #040100997","LUZ IRAZEMA  LEAL PAYNS","1797134","LICITACION PUBLICA NACIONAL (SERVICIO DE LIMPIEZA)","01. Licitación Pública LAASSP",NA,"LA-040100997-E4-2018",2018-11-14,2018-09-21 15:41:00,2018-11-05 10:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1962076","LA-040100997-E4-2018/SLE","CONTRATO LA-040100997-E4-2018/SLE",2019-01-01,2020-12-31,"3178910.98","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"4419","SLE021203RG1","SERVICIOS DE LIMPIEZA EMPRESARIAL, S.A. DE C.V.","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1561053","miércoles","viernes","lunes","martes","jueves",NA,45,53,9,5,1,0
"64","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100997","INEGI-Dirección Regional Norte #040100997","LUZ IRAZEMA  LEAL PAYNS","1797134","LICITACION PUBLICA NACIONAL (SERVICIO DE LIMPIEZA)","01. Licitación Pública LAASSP",NA,"LA-040100997-E4-2018",2018-11-14,2018-09-21 15:41:00,2018-11-05 10:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1962083","LA-040100997-E4-2018/POLI","CONTRATO LA-040100997-E4-2018/POLI",2019-01-01,2020-12-31,"2107084.8","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"442782","SLP1208166B1","SERVICIOS DE LIMPIEZA POLISELEX SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1561053","miércoles","viernes","lunes","martes","jueves",NA,45,53,9,5,1,0
"65","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100986","INEGI-DIRECCION REGIONAL OCCIDENTE #040100986","Francisco Javier Gamiño Rodríguez","1799029","Protección y Seguridad Integral","01. Licitación Pública LAASSP",NA,"LA-040100986-E3-2018",2018-10-29,2018-09-27 07:58:00,2018-10-16 08:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1957646","INEGI D.R.O. C.E. NAY. 01/2019","INEGI D.R.O. C.E. NAY. 01/2019",2019-01-01,2020-12-31,"1036032","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","1","1",NA,"19541","CIS9510237P6","CORPORACION DE INSTALACION Y SERVICIOS INTERNOS EMPRESARIALES","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1562986","lunes","jueves","martes","martes","jueves",NA,19,32,13,3,4,0
"66","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100986","INEGI-DIRECCION REGIONAL OCCIDENTE #040100986","Francisco Javier Gamiño Rodríguez","1799029","Protección y Seguridad Integral","01. Licitación Pública LAASSP",NA,"LA-040100986-E3-2018",2018-10-29,2018-09-27 07:58:00,2018-10-16 08:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1957598","INEGI D.R.O. 01/2019","INEGI D.R.O. 01/2019",2019-01-01,2020-12-31,"4041984","MXN","Activo","0",NA,2018-11-15,"No se utilizó el Contrato Marco","1","1",NA,"19541","CIS9510237P6","CORPORACION DE INSTALACION Y SERVICIOS INTERNOS EMPRESARIALES","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1562986","lunes","jueves","martes","martes","jueves","jueves",19,32,13,3,2,0
"67","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100986","INEGI-DIRECCION REGIONAL OCCIDENTE #040100986","Francisco Javier Gamiño Rodríguez","1799029","Protección y Seguridad Integral","01. Licitación Pública LAASSP",NA,"LA-040100986-E3-2018",2018-10-29,2018-09-27 07:58:00,2018-10-16 08:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1957632","INEGI D.R.O. C.E. MIC. 01/2019","INEGI D.R.O. C.E. MIC. 01/2019",2019-01-01,2020-12-31,"1560052.61","MXN","Activo","0",NA,2018-11-15,"No se utilizó el Contrato Marco","1","1",NA,"100204","CES070720UX4","CONSORCIO EMPRESARIAL DE SEGURIDAD PRIVADA, LIMPIEZA Y MANTENIMIENTO SA DE CV","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1562986","lunes","jueves","martes","martes","jueves","jueves",19,32,13,3,4,0
"68","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR005","IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005","Luisa Isabel Portillo Gómez","1799502","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS","01. Licitación Pública LAASSP",NA,"LA-050GYR005-E189-2018",2018-11-22,2018-11-01 12:12:00,2018-11-16 12:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1970415","S8M0329","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS",2019-01-01,2020-01-01,"19380","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,"CPS100527NR5","CONSTRUCTORA Y PRESTADORA DE SERVICIOS PRIVI, S. DE R.L. DE C.V.","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1579018","jueves","jueves","viernes","martes","miércoles",NA,15,20,6,2,2,0
"69","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR005","IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005","Luisa Isabel Portillo Gómez","1799502","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS","01. Licitación Pública LAASSP",NA,"LA-050GYR005-E189-2018",2018-11-22,2018-11-01 12:12:00,2018-11-16 12:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1970416","S8M0328","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS",2019-01-01,2020-01-01,"100692.96","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"JOSE JOAQUIN SANDOVAL JIMENEZ","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1579018","jueves","jueves","viernes","martes","miércoles",NA,15,20,6,2,2,0
"70","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR005","IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005","Luisa Isabel Portillo Gómez","1799502","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS","01. Licitación Pública LAASSP",NA,"LA-050GYR005-E189-2018",2018-11-22,2018-11-01 12:12:00,2018-11-16 12:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1970417","S8M0327","LA-050GYR005-E189-2018 SERVICIOS COMPLEMENTARIOS",2019-01-01,2020-01-01,"214198.84","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,"RPA020610ET2","RIZO PAPELERA SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1579018","jueves","jueves","viernes","martes","miércoles",NA,15,20,6,2,2,0
"71","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR005","IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005","Luisa Isabel Portillo Gómez","1799525","LA-050GYR005-E191-2018 SERVICIO DE MEDICAMENTO MEZCLADO  Y FORMULAS","01. Licitación Pública LAASSP",NA,"LA-050GYR005-E191-2018",2018-11-26,2018-10-30 17:51:00,2018-11-15 13:00:00,"Nacional","Adquisiciones","Licitación Pública","Mixta","1970431","ABTN181904310041","LA-050GYR005-E191-2018 SERVICIO DE MEDICAMENTO MEZCLADO Y FORMULAS",2019-01-01,2020-01-01,"16807206","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,"12712","PHO830421C59","PRODUCTOS HOSPITALARIOS S.A DE C.V","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1577440","lunes","martes","jueves","martes","miércoles",NA,16,26,10,7,6,0
"72","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100992","INEGI-Dirección General de Administración de Adquisiciones #040100992","Víctor Manuel Rodríguez Silva","1799813","Contratación de los Derechos de Uso de Programas de Software","01. Licitación Pública LAASSP",NA,"LA-040100992-E22-2018",2018-10-25,2018-10-01 08:26:00,2018-10-18 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1958389","CS/12/CGI/2018","Contratación de los Derechos de Uso de Programas de Software",2019-01-01,2021-12-31,"2994451","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"14226","CAD901017276","CADGRAFICS","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1563702","jueves","lunes","jueves","martes","viernes",NA,17,24,7,9,9,0
"73","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100992","INEGI-Dirección General de Administración de Adquisiciones #040100992","Víctor Manuel Rodríguez Silva","1799813","Contratación de los Derechos de Uso de Programas de Software","01. Licitación Pública LAASSP",NA,"LA-040100992-E22-2018",2018-10-25,2018-10-01 08:26:00,2018-10-18 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1958411","PS/109-01/119/2018","Contratación de los Derechos de Uso de Programas de Software",2019-01-01,2021-12-31,"364185.1","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,NA,"GCO170417FD6","GONGAR CONSULTORES SAS DE CV","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1563702","jueves","lunes","jueves","martes","viernes",NA,17,24,7,9,9,0
"74","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100992","INEGI-Dirección General de Administración de Adquisiciones #040100992","Víctor Manuel Rodríguez Silva","1799813","Contratación de los Derechos de Uso de Programas de Software","01. Licitación Pública LAASSP",NA,"LA-040100992-E22-2018",2018-10-25,2018-10-01 08:26:00,2018-10-18 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1958429","CS/13/CGI/2018","Contratación de los Derechos de Uso de Programas de Software",2019-01-01,2021-12-31,"1207726.29","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"5908","SPH020211R53","Sistemas Phoenix, S. de R. L.","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1563702","jueves","lunes","jueves","martes","viernes",NA,17,24,7,9,9,0
"75","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100992","INEGI-Dirección General de Administración de Adquisiciones #040100992","Víctor Manuel Rodríguez Silva","1799813","Contratación de los Derechos de Uso de Programas de Software","01. Licitación Pública LAASSP",NA,"LA-040100992-E22-2018",2018-10-25,2018-10-01 08:26:00,2018-10-18 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1958457","PS/109-01/120/2018","Contratación de los Derechos de Uso de Programas de Software",2019-01-01,2021-12-31,"21903","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"19761","TMO840813SUA","TELECOMUNICACIONES MODERNAS SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1563702","jueves","lunes","jueves","martes","viernes",NA,17,24,7,9,9,0
"76","APF","INEGI","Instituto Nacional de Estadística Y Geografía","040100992","INEGI-Dirección General de Administración de Adquisiciones #040100992","Víctor Manuel Rodríguez Silva","1799813","Contratación de los Derechos de Uso de Programas de Software","01. Licitación Pública LAASSP",NA,"LA-040100992-E22-2018",2018-10-25,2018-10-01 08:26:00,2018-10-18 09:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1958464","PS/109-01/121/2018","Contratación de los Derechos de Uso de Programas de Software",2019-01-01,2021-12-31,"242475","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"463118","EFA121129Q85","ECO FALH SA DE CV","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1563702","jueves","lunes","jueves","martes","viernes",NA,17,24,7,9,9,0
"77","GE","MEX","MEX-Universidad Politécnica del Valle de México","915102993","MEX-Universidad Politécnica del Valle de México-Secretaria Administrativa #915102993","Jonathan Galdino Hernández Sánchez","1800633","Servicio de Seguridad y Vigilancia","01. Licitación Pública LAASSP",NA,"LA-915102993-E1-2018",2018-11-16,2018-10-04 08:11:00,2018-10-24 11:00:00,"Nacional","Servicios","Licitación Pública","Presencial","1965170",NA,"Servicio de Seguridad y Vigilancia",2019-01-01,2019-12-31,"3559798.44","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,"4486","TME071123CJ9","TONANTZI MEX, S.A. DE C.V.","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1566689","viernes","jueves","miércoles","martes","martes",NA,20,43,23,4,4,0
"78","GE","YUC","YUC-Universidad Autónoma de Yucatán","931056978","YUC-Universidad Autónoma de Yucatán-Comité de Licitaciones en Materia de Adquisiciones #931056978","Luis Alberto  López Maldonado","1801383","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS","01. Licitación Pública LAASSP",NA,"LA-931056978-E11-2018",2018-11-12,2018-10-02 06:50:00,2018-10-23 09:00:00,"Internacional","Adquisiciones","Licitación Pública","Presencial","1964775","043-20187","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS",2019-01-01,2019-12-31,"77973.815","MXN","Activo","0","11U006-S ORG DESCENT ESTATALES",NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"MEDICAL & TECHNICAL BOOKS, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1565204","lunes","martes","martes","martes","martes",NA,21,41,20,3,3,0
"79","GE","YUC","YUC-Universidad Autónoma de Yucatán","931056978","YUC-Universidad Autónoma de Yucatán-Comité de Licitaciones en Materia de Adquisiciones #931056978","Luis Alberto  López Maldonado","1801383","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS","01. Licitación Pública LAASSP",NA,"LA-931056978-E11-2018",2018-11-12,2018-10-02 06:50:00,2018-10-23 09:00:00,"Internacional","Adquisiciones","Licitación Pública","Presencial","1964735","041-20187","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS",2019-01-01,2019-12-31,"548260","MXN","Activo","0","11U006-S ORG DESCENT ESTATALES",NA,"No se utilizó el Contrato Marco","1","0",NA,NA,NA,"GABRIEL FALCON AGUIRRE",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1565204","lunes","martes","martes","martes","martes",NA,21,41,20,3,3,0
"80","GE","YUC","YUC-Universidad Autónoma de Yucatán","931056978","YUC-Universidad Autónoma de Yucatán-Comité de Licitaciones en Materia de Adquisiciones #931056978","Luis Alberto  López Maldonado","1801383","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS","01. Licitación Pública LAASSP",NA,"LA-931056978-E11-2018",2018-11-12,2018-10-02 06:50:00,2018-10-23 09:00:00,"Internacional","Adquisiciones","Licitación Pública","Presencial","1964768","042-20187","SUSCRIPCIONES A PUBLICACIONES PERIÓDICAS",2019-01-01,2019-12-31,"1600714.0836","MXN","Activo","0","11U006-S ORG DESCENT ESTATALES",NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"EBSCO MEXICO INC, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1565204","lunes","martes","martes","martes","martes",NA,21,41,20,3,3,0
"81","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR047","IMSS-DIVISION BIENES TERAPEUTICOS #050GYR047","ALMA ROSA MEDRANO DÍAZ","1804098","LA-050GYR047-E44-2018 MEDICAMENTOS MEDICAMENTOS NACIONAL CONSOLIDADA","01. Licitación Pública LAASSP",NA,"LA-050GYR047-E44-2018",2018-11-07,2018-10-11 16:19:00,2018-10-26 09:00:00,"Nacional","Adquisiciones","Licitación Pública","Electrónica","1961343","U180246","MEDICAMENTOS",2019-01-01,2019-12-31,"995990038.01","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","1","0",NA,"654","DIM010319S79","DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO SA DE CV","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1570763","miércoles","jueves","viernes","martes","martes",NA,15,26,12,4,0,0
"82","APF","IMSS","Instituto Mexicano del Seguro Social","050GYR047","IMSS-DIVISION BIENES TERAPEUTICOS #050GYR047","ALMA ROSA MEDRANO DÍAZ","1804098","LA-050GYR047-E44-2018 MEDICAMENTOS MEDICAMENTOS NACIONAL CONSOLIDADA","01. Licitación Pública LAASSP",NA,"LA-050GYR047-E44-2018",2018-11-07,2018-10-11 16:19:00,2018-10-26 09:00:00,"Nacional","Adquisiciones","Licitación Pública","Electrónica","1961360","U180254","MEDICAMENTOS",2019-01-01,2019-12-31,"32572718.4","MXN","Activo","0",NA,NA,"No se utilizó el Contrato Marco","1","0",NA,"3633","RAL9206115U8","RALCA, S.A. DE C.V.","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1570763","miércoles","jueves","viernes","martes","martes",NA,15,26,12,4,0,0
